Code,Market Code,Name,Date,Type,Qty,Price,Instrument Currency,Cost Base Per Share (aud),Brokerage,Brokerage Currency,Exch. Rate,Value, 
BHYB,ASX,Betashares Australian Major Bank Hybrids Index Etf,2022-07-07,Sell,-3829,9.65,AUD,,36.95,AUD,1.0,-36912.9,
BHYB,ASX,Betashares Australian Major Bank Hybrids Index Etf,2022-07-08,Sell,-37,9.65,AUD,,0.36,AUD,1.0,-356.69,
S32,ASX,South32 Limited,2022-07-18,Sell,-4105,3.5,AUD,,14.37,AUD,1.0,-14353.13,
AWC,ASX,Alumina Limited,2022-07-18,Sell,-3100,1.41,AUD,,11.0,AUD,1.0,-4360.0,
CHN,ASX,Chalice Mining Ltd,2022-09-12,Buy,1500,4.17,AUD,,11.0,AUD,1.0,6266.0,
D2O,ASX,Duxton Water Ltd,2022-09-23,Sell,-8395,1.6389,AUD,,13.76,AUD,1.0,-13744.81,
CHN,ASX,Chalice Mining Ltd,2022-10-19,Buy,1500,4.3676,AUD,,11.0,AUD,1.0,6562.4,
CHN,ASX,Chalice Mining Ltd,2022-10-24,Sell,-1000,4.6,AUD,,11.0,AUD,1.0,-4589.0,
CHN,ASX,Chalice Mining Ltd,2022-10-24,Sell,-2000,4.6,AUD,,11.0,AUD,1.0,-9189.0,
PPT,ASX,Perpetual Limited,2023-03-16,Buy,250,21.0,AUD,,11.0,AUD,1.0,5261.0,
S32,ASX,South32 Limited,2023-04-24,Buy,1500,4.05,AUD,,11.0,AUD,1.0,6086.0,
MIN,ASX,Mineral Resources.,2023-05-17,Buy,70,71.6,AUD,,11.0,AUD,1.0,5023.0,
SEMI,ASX,Global X Semiconductor Etf,2023-05-17,Sell,-500,9.96,AUD,,11.0,AUD,1.0,-4969.0,
HLI,ASX,Helia Group Limited,2023-05-19,Sell,-2000,3.4,AUD,,11.0,AUD,1.0,-6789.0,
AGL,ASX,Agl Energy Limited.,2023-06-22,Buy,750,10.9,AUD,,11.0,AUD,1.0,8186.0,
PPT,ASX,Perpetual Limited,2023-06-28,Sell,-360,25.9,AUD,,11.0,AUD,1.0,-9313.0,
VIXY,BATS,ProShares Trust - ProShares VIX Short-Term Futures ETF,2022-09-12,Buy,250,13.62,USD,,0.0,USD,0.683404,4982.41,
VIXY,BATS,ProShares Trust - ProShares VIX Short-Term Futures ETF,2022-09-12,Sell,-250,13.63,USD,,0.08,USD,0.693576,-4912.83,
VIXY,BATS,ProShares Trust - ProShares VIX Short-Term Futures ETF,2022-11-02,Buy,300,14.15,USD,,0.0,USD,0.637175,6662.22,
VIXY,BATS,ProShares Trust - ProShares VIX Short-Term Futures ETF,2023-06-23,Consolidation,-240,,USD,,,,,,
