"Security Code","Sector","Company Name","Currency","Quantity","Last Price","Average Cost $","Cost Value $","Market Value $","Gain Loss $","Gain Loss %","% of Holdings","Price to Earnings","Earnings per Share","Current Dividend c","Franking %","Dividend yield %","Fx Rate"
"ASB","Industrials","AUSTAL LIMITED","","2500.00","1.800","2.21","5536.00","4500.000","-1036.00","-18.71","3.92","24.00","0.08","8.00","0.00","4.44",""
"AWC","Materials","ALUMINA LIMITED","","3100.00","1.465","2.07","6428.00","4541.500","-1886.50","-29.35","3.96","27.59","0.05","6.11","100.00","4.17",""
"BHYB","ASX Internal","BETASHARES AUSTRALIAN MAJOR BANK HYBRIDS INDEX ETF","","3866.00","9.680","10.02","38745.23","37422.880","-1322.35","-3.41","32.63","96.90","0.10","0.00","98.69","0.00",""
"CGC","Consumer Staple","COSTA GROUP HOLDINGS LIMITED","","1500.00","2.860","3.44","5156.00","4290.000","-866.00","-16.80","3.74","39.50","0.07","9.00","40.00","3.15",""
"D2O","Utilities","DUXTON WATER LIMITED","","8395.00","1.690","1.33","11139.36","14187.550","3048.19","27.36","12.37","20.12","0.08","0.00","100.00","0.00",""
"FGL","Information Technology","FRUGL GROUP LIMITED","","50000.00","0.011","0.06","2961.00","550.000","-2411.00","-81.43","0.48","","-0.01","0.00","0.00","0.00",""
"GMA","","","","2000.00","2","2.16","4311.00","4600","289.00","6.70","4.01","6.22","0.37","36.00","100.00","15.65",""
"LER","Materials","LEAF RESOURCES LTD","","50000.00","0.079","0.08","4011.00","3950.000","-61.00","-1.52","3.44","","0.00","0.00","0.00","0.00",""
"MFG","Financial","MAGELLAN FINANCIAL GROUP LIMITED","","370.00","12.920","22.15","8196.00","4780.400","-3415.60","-41.67","4.17","11.12","1.16","115.80","85.00","8.96",""
"MFGO","","MAGELLAN FINANCIAL GROUP LIMITED","","47.00","0.735","0.00","0.00","34.545","34.55","","0.03","","","","","",""
"NXL","Information Technology","NUIX LIMITED","","800.00","0.760","6.51","5211.00","608.000","-4603.00","-88.33","0.53","","-0.06","0.00","0.00","0.00",""
"PDL","","","","3430.00","4","6.00","20586.00","15161","-5425.40","-26.35","13.22","13.90","0.32","24.50","100.00","5.54",""
"S32","Materials","SOUTH32 LIMITED","","4105.00","3.940","3.28","13476.97","16173.700","2696.73","20.01","14.10","5.27","0.75","32.46","100.00","8.24",""
"SEMI","ASX Internal","GLOBAL X SEMICONDUCTOR ETF","","500.00","7.760","10.05","5026.00","3880.000","-1146.00","-22.80","3.38","","0.00","0.00","0.00","0.00",""
